keywords,count
comfort,2
customer care,2
rude,2
good experience,2
dedicated,2
rehabilitation,2
fast service,2
mental health care,2
sarah,2
listening to my concerns,2
humour,2
swearing,2
changes,2
quick response,2
unprofessional,2
cleaner,2
long wait,2
cost,2
professionalism,2
anaesthetist,2
healthy eating,2
cleaners,2
school,2
octor,2
safety,2
results,2
feeling very alone,1
queensland health,1
time,1
intensive care unit,1
behaviour of senior partner,1
private gynaecologist listening to my concerns,1
admissions,1
building,1
ppointments,1
support for threatened miscarriage,1
queensland cardiologist,1
organisation of transport and forms,1
informative staff,1
diagnosis,1
nice,1
our clients hold nurse in high esteem,1
waiting for prescription at pharmacy,1
royal adelaide hospital,1
contact by phone,1
casualty,1
listened to,1
medical staff at hospital,1
ttitude of triage nurse at redcliffe,1
student nurse,1
ambulance officers were amazing,1
diligent nurses,1
medication,1
cardiac ward,1
ressing my concerns,1
paediatrics,1
checking medical record for allergies,1
carers about my well being,1
nurses on ward,1
maternity care,1
home care services,1
guest speakers,1
healthy lifestyle,1
rude consultant,1
dr bruce garlik,1
ischarging patient without doctor consent,1
less sitting,1
ged care,1
reassurance,1
surgical team,1
compassionate staff,1
epworth eastern,1
charged non generic price for generic medication,1
reading records,1
being lied to,1
doctor behaviour,1
ttractiveness of ward,1
over cautious,1
accountability,1
service from some staff at pharmacy,1
earlier surgical appointment,1
hospital ward,1
nsw,1
ccess to patient transport service,1
fter care,1
no staff to look after me,1
transfers,1
less paper based info,1
dirty bathroom,1
thankful,1
elvira,1
quick treatment,1
communities felt valued,1
emergency care at redcliffe hospital,1
pediatrician,1
medicare,1
night care,1
waiting time in ed at rbwh,1
government closure,1
caring nurse,1
timely diagnosis,1
complaint process,1
regularly attending to patient,1
neurosurgeon,1
hugging patients,1
breastfeeding education,1
bed sore,1
further investigation into health problem,1
dr lee,1
er doctors and nurses,1
respiratory care,1
procedures at sunshine hospital,1
telling patient first,1
social workers,1
friendly nurse,1
ccess to services,1
full check up,1
awareness of my changing lifestyle,1
upsettng,1
community information,1
mental health,1
action from letter of complaint,1
cairns gp,1
feeling gross,1
pain,1
hospital stay,1
anaesthetist's assistant,1
polite receptionist,1
q scan,1
cancer care staff,1
night staff,1
great listener,1
only having one working lift,1
local doctor,1
time waiting for meds,1
getting a post op wash,1
healthy cooking,1
staff attitude towards family and relatives,1
on time,1
healing process,1
private emergency department,1
pressure sore,1
monitoring my ongoing medical condidtions,1
punctual,1
private health insurance,1
reassured,1
insensitive,1
tests,1
humanity,1
a response from my gps referral letter,1
care in morier ward,1
helps me save money,1
more information for hiv patients,1
having xray at hospital on day of injury,1
employing people who know how to clean properly,1
super bugs,1
cancelled surgery,1
doctor feedback,1
attentive nurses,1
hospital intern,1
staff behaviour,1
brisbane,1
orthopaedic,1
stressed,1
knowledge of autism,1
costs,1
ccess to care,1
charges,1
coping strategies,1
dirty toilets,1
caring people,1
changing,1
men's shed,1
information regarding client contribution,1
comfortable environment,1
waiting time for an appointment,1
drink,1
negative experience,1
kind and compassionate staff,1
horrible experience,1
advocate,1
timely treatment,1
short term care,1
patient check up,1
community health,1
more beds,1
lack of beds,1
communication within rsl care,1
noisy staff,1
bedside manner,1
general practice,1
asks about my partner,1
bias,1
stress free,1
cleanliness excellent,1
bathrooms,1
cobwebs in ward,1
that my daughter survived the horrendous ordeal,1
mistake,1
procedure,1
more positive about myself,1
treatment from staff,1
registrar,1
nurse mandy,1
correct files,1
admin staff,1
ward 7c,1
calms,1
consultant,1
handling,1
psychotherapy,1
child,1
ipswich,1
overnight stay,1
i felt i was in good hands,1
families,1
feeling upset,1
aged care facility,1
diagnosis at sunshine hospital,1
lack of staff,1
care at ipswich er,1
staff ensuring we were both looked after,1
discrimination,1
bathroom,1
gentle doctor,1
ent specialist,1
caesarean delivery,1
medical history,1
iagnosis at redcliffe hospital,1
treatment in emergency department,1
help from nurses on maternity ward,1
pindara private hospital,1
x-ray,1
prompt service,1
patient doctor relationship,1
psychologists,1
ataps,1
health issues,1
mental health service,1
dedication,1
concern for head injury,1
dr m,1
no empathy from nurses or doctors,1
isgusted,1
early discharge,1
customer service,1
cute care,1
rural primary care nurse,1
elayed surgery,1
waiting times for mri,1
treatment at caboolture hospital,1
decreasing stigma of mental health,1
misdiagnosis,1
billed twice,1
care of elderly,1
being able to discuss problems with others,1
unprofessional nurse,1
surgery,1
nurses station on maternity ward,1
postnatal care,1
time frame,1
honesty,1
psychologist remembering my story,1
patient buzzer not working,1
general services office,1
exercise,1
course,1
my father's quality of life,1
medical board,1
closure,1
care at our home was excellent,1
time allowed for appointment,1
mission,1
expectation,1
emergency department resident,1
surgery nurses,1
regular appointment,1
sense of humour,1
gp referral,1
ischarge time,1
someone calling me back,1
continuity,1
primary care health nurse,1
knowledgeable doctor,1
kindness and support from jean woods,1
believing,1
information to patients,1
schema therapy,1
young male surgeon,1
availability,1
no tests at sunshine hospital,1
genuine care,1
lost and found,1
post operative care,1
timely access to theatre,1
swearing in front of patients,1
bedside phone not working,1
redcliffe hospital,1
medical centre,1
nurse practitioner,1
caring & professional staff,1
my call not being put through til 70 mins later,1
outpatients,1
weight off shoulders,1
emergency dentist,1
open discussion,1
cosmos program,1
acute care,1
jean woods,1
head nurse at ipswich hospital,1
manager not helping reception staff,1
being put on hold 8 times,1
information from consultant,1
inconvenience,1
radiology restrictions,1
greeted warmly,1
relaxed,1
weigh loss,1
appointment letter,1
recommended,1
taking a lesson from the hotel industry,1
the system,1
paramedics,1
rrogance,1
access to heart specialist,1
access to information,1
life changing,1
dismissive,1
breakfast,1
lack of compassion,1
gentle,1
tidy,1
nurse and doctor care in the birthing suite,1
lack of understanding,1
my psychologist has given me hope,1
health promotion,1
painful,1
informing cleaner of cancellations,1
childrens ward,1
sharing a bathroom with male patients,1
management of unit,1
trustworthy,1
the tv reception in the waiting room,1
staff at flinders medical centre,1
making an appointment via phone,1
primary care,1
happy,1
poor service,1
at home nurse,1
sunshine hospital,1
nxious,1
dingy rooms,1
social care,1
new baby,1
breathless,1
woden hospital,1
practice extremely presentable,1
my gp,1
surgeon's people skills,1
caring staff at the hospital,1
diabetic team,1
remote services,1
prejudice,1
remarkable staff,1
llowing my elderly mother a pillow,1
medical assessment,1
being misinformed,1
palliative care,1
training,1
accommodation,1
isinterested,1
staff treatment,1
incorrect length of distal screw,1
information about side effects,1
hospital records,1
availability of an after hours service in ipswich,1
post surgical care,1
equate explanation,1
gp waiting time,1
helpfullness,1
explian,1
looked after,1
refused ultrasound,1
recomends non-medicinal methods,1
breech delivery,1
orthopaedic ward,1
showers,1
maybe a little more explanation,1
er,1
dr martin d'arcy-evans,1
dr simon,1
signage,1
pap smear taking too long,1
improved confidence,1
feeling like an inanimate object,1
theatre staff,1
ed,1
we were treated with the utmost respect,1
ay nurses,1
skills i have learnt,1
ct scan operator,1
hospital staff,1
uncomfortable situation,1
communication skills,1
ooking,1
muscular skeletal,1
exceptional bedside manner,1
sympathy,1
orderlies,1
excellent treatment,1
iagnosis of broken foot,1
local service,1
toys in waiting area,1
therapy,1
records,1
waiting list,1
physiotherapists,1
nurse tracey at boonah hospital,1
podiatrist treatment,1
ealing with situations,1
chatty,1
acupuncture,1
g.p.,1
good staff,1
forms,1
after hours gp,1
fracture clinic,1
relentless efforts,1
extremely grateful,1
staff in surgical ward,1
arrogant,1
responsive,1
tablets,1
health and safety,1
being able to let nature run its course,1
consent,1
notification of waiting time,1
feeling good about what i learnt,1
nguish,1
oncology,1
the staff apathy,1
elay in seeing doctor,1
over diagnosis,1
nurses in recovery,1
health professionals,1
ombudsman,1
rrogant staff at pharmacy,1
recovery,1
tidy waiting area,1
ward clerk,1
ccommodation,1
physio,1
prolonged healing process,1
consideration for patient,1
travel to get ultrasound,1
tact,1
not too long to wait,1
kind ambulance officers,1
reception staff at hospital,1
professional approach,1
timely operation,1
genetic councellor,1
dr lee's support,1
talking to a professionsal,1
rapport,1
endoscopy,1
handover,1
service did not meet emergency need,1
ward 3,1
nurses in neuro department,1
individual help,1
staff numbers,1
awesome staff,1
wonderful doctors,1
social worker,1
men's pitstop,1
prompt,1
fructosamine test,1
attitude of triage staff,1
control,1
booking,1
post-op,1
doctor's communication,1
cancellations,1
support received,1
attitude of nurse practitioner,1
healthy afternoon tea,1
practice based learning,1
kindness of nurses,1
ambulance officers,1
private rooms,1
infection,1
complaints process,1
birth plan,1
dirty ward,1
onsite accommodation for rural patient's relatives,1
staff honoring my father's request,1
feeling like i am a person and not just a patient,1
calm,1
well informed,1
staph infection,1
algester lodge,1
ccessibility,1
being informed and included,1
opthalmology,1
informative dentist,1
treatment by security guard,1
the rotation of staff,1
specialist consult,1
feelings,1
discharge summary,1
pharmacy services,1
cleanliness of bathroom,1
massage,1
delays,1
freemantle ed,1
social,1
emergency department waiting room environment,1
feeling alot better now,1
swab,1
distressed,1
informative educator,1
care in general at sunshine hospital,1
triage,1
help for our son,1
staff knowledge of surgical allergy info,1
linear accelerators,1
quick response to urgent matters,1
holistic treatment,1
social group,1
feeling like e number and not a person,1
idn't feel rushed,1
inappropriate doctor behaviour,1
nurse care of an elderly patient,1
cooking,1
independent expert,1
testing at redcliffe hospital,1
clean hospital,1
scan lady at ipswich hospital,1
nger management,1
home birth,1
excellent all round service,1
emotional wellbeing,1
long term care,1
high standard of care,1
neck pain,1
medical records,1
notification when patient had been moved to a bed,1
mens health information,1
icu,1
skilled doctors,1
only staying one nightin maternity ward,1
staff changes,1
compassionate,1
skills,1
nurse sue,1
doctor training,1
deteriorated hospital,1
recovery ward staff,1
no investigation at sunshine hospital,1
home and community care,1
support in our community,1
hospital infection,1
waiting 3 days for surgery,1
staff were professional,1
premature baby,1
report sent to my doctor,1
recommendation for aftercare,1
environment,1
disgusting,1
general surgeon,1
royal far west,1
navigation,1
ccess to see a doctor,1
kate,1
hospital admission,1
sleep,1
nursery,1
surgical,1
fobbed off,1
inexperienced nurses,1
getting a second opinion on xrays,1
lternative,1
